GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1029778978,SushiGo,3,GAME_OVER,84,0,3,228,Basic MCTS,37.0,39.0,50.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-1116669881,SushiGo,3,GAME_OVER,81,0,3,229,Basic MCTS,45.0,34.0,47.0,GroupAA MCTS Agent,randomPlayer,2,Basic MCTS,2,3,3,1,GroupAA MCTS Agent,1,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,2
1930847207,SushiGo,3,GAME_OVER,83,0,3,230,Basic MCTS,34.0,32.0,45.0,randomPlayer,GroupAA MCTS Agent,2,Basic MCTS,2,3,3,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
1204042696,SushiGo,3,GAME_OVER,82,0,3,231,Basic MCTS,51.0,42.0,33.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,2,2,3,GroupAA MCTS Agent,3,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
1854341258,SushiGo,3,GAME_OVER,84,0,3,232,Basic MCTS,54.0,34.0,35.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,3,3,2,GroupAA MCTS Agent,2,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
760044856,SushiGo,3,GAME_OVER,83,0,3,233,randomPlayer,36.0,23.0,50.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-230780221,SushiGo,3,GAME_OVER,84,0,3,234,GroupAA MCTS Agent,35.0,43.0,32.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-1500989715,SushiGo,3,GAME_OVER,82,0,3,235,Basic MCTS,60.0,35.0,36.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,3,3,2,GroupAA MCTS Agent,2,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
751911445,SushiGo,3,GAME_OVER,82,0,3,236,Basic MCTS,26.0,43.0,50.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-944442593,SushiGo,3,GAME_OVER,82,0,3,237,GroupAA MCTS Agent,41.0,52.0,38.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-935277995,SushiGo,3,GAME_OVER,84,0,3,238,randomPlayer,45.0,32.0,35.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
247835695,SushiGo,3,GAME_OVER,82,0,3,239,randomPlayer,37.0,26.0,62.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-1624668346,SushiGo,3,GAME_OVER,82,0,3,240,Basic MCTS,23.0,31.0,38.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
1838559114,SushiGo,3,GAME_OVER,82,0,3,241,GroupAA MCTS Agent,44.0,60.0,31.0,Basic MCTS,randomPlayer,2,GroupAA MCTS Agent,2,1,1,3,Basic MCTS,3,randomPlayer,Basic MCTS,GroupAA MCTS Agent,randomPlayer,0
